project_id,size_bucket,risk_level_bucket,late_concentration,tail_type,coupling,n_tasks,n_streams,burn_rate_per_day,fixed_cost,cpm_duration,cpm_cost,mc_duration_mean,mc_duration_p50,mc_duration_p80,mc_duration_p90,mc_cost_mean,mc_cost_p50,mc_cost_p80,mc_cost_p90,p_duration_over_cpm,p_cost_over_cpm,risk_count,risk_prob_sum,late_risk_prob_sum,avg_prob,E_sched_add_total,E_cost_lump_total,E_mul_excess_total,late_E_sched_add,late_E_cost_lump,y_duration,y_cost,y_sched_over,y_cost_over,risk_cost_per_day,late_risk_share_cost,late_risk_share_sched,expected_delay_ratio
P12,LARGE,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,15,3,3838.76,64279.33,118.14,517790.43640000006,167.6684649173087,155.96303995145928,200.56508417956852,230.54656332360565,750483.7382055904,707537.8506609283,900355.5914730548,1021008.3969875202,0.9536,0.9662,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,230.54656332360565,1021008.3969875202,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.1424637435798561
P24,LARGE,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,15,3,3311.26,93626.18,142.73,566242.3197999999,192.6936956826876,178.47502172516468,227.549602597007,260.33131440416184,774259.1505780488,730982.954483501,914943.7294817462,1025342.9364585222,0.929,0.9495,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,260.33131440416184,1025342.9364585222,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.11791961512330097
P08,MEDIUM,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,14,2,2246.73,79697.4,94.43,291856.1139,141.6900136078561,131.0276312425487,174.76868597705268,200.194998872136,440019.0143872113,421137.5979536424,539041.6070958333,601195.8970869414,0.961,0.9682,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,200.194998872136,601195.8970869414,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.1782343181879533
P20,MEDIUM,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,14,2,5910.5,50628.83,104.98,671113.1199999999,152.03244532173724,140.7115190927777,185.62023058974663,211.87394992556432,991566.0074526338,927372.2714370522,1215014.8870421846,1376726.7999790108,0.9509,0.9591,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,211.87394992556432,1376726.7999790108,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.16032260112884686
P04,SMALL,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,13,1,4959.53,44529.55,75.29999999999998,417982.1589999999,119.63730081212748,111.60349866860427,152.02365678348886,173.26098747171494,680409.539650801,646979.4668392253,862030.3197230387,972419.4126692386,0.9637,0.966,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,173.26098747171494,972419.4126692386,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.22351482956763816
P16,SMALL,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,13,1,3315.71,40460.7,82.78,314935.1738,126.3532562456368,117.15150424891304,158.9174987377256,182.5237666589416,501320.0302087116,474928.665267087,633879.013697045,718701.2473896802,0.9414,0.9464,4,1.7,0.85,0.425,16.830666666666666,42531.16666666667,-1.0477633924544665,10.314,30064.5,182.5237666589416,718701.2473896802,1,1,2527.0042777552685,0.7068816201452102,0.6128099500546933,0.20331803172823565
P03,LARGE,HIGH,LATE_HEAVY,NORMAL_TAIL,WEAK,15,3,5169.38,62182.96,146.70000000000002,820531.006,180.3061309268968,171.94212445655126,205.1371946473812,223.70757023453447,1021343.5794307536,978720.422935258,1164554.0327693175,1264045.4862347,0.9242,0.9386,4,1.54,0.69,0.385,12.690000000000001,27266.666666666668,-1.059245300535466,6.173333333333334,14800.000000000002,223.70757023453447,1264045.4862347,1,1,2148.6734960219064,0.5427872860635498,0.4864722878523925,0.08650306748407292
P15,LARGE,HIGH,LATE_HEAVY,NORMAL_TAIL,STRONG,15,3,3315.71,31321.36,124.18,443066.2278,155.03001743264394,147.00375855703416,178.2976667416615,194.91551059430617,572547.1468576059,548350.8558098138,663947.8378578915,724978.312176486,0.9408,0.9503,4,1.54,0.69,0.385,12.690000000000001,27266.666666666668,-1.059245300535466,6.173333333333334,14800.000000000002,194.91551059430617,724978.312176486,1,1,2148.6734960219064,0.5427872860635498,0.4864722878523925,0.1021903688186327
P11,MEDIUM,HIGH,BALANCED,HEAVY_TAIL,STRONG,15,3,3495.09,68837.62,98.16,411915.6544,124.47470268223032,114.79488397827626,145.10342007469782,163.70788977704007,531413.903528097,496745.450875956,619973.511743134,693841.9162423926,0.9141,0.9282,4,1.42,0.57,0.355,11.59,27643.333333333336,-0.9925090346439406,5.073333333333333,15176.666666666668,163.70788977704007,693841.9162423926,1,1,2385.1020993052834,0.5490172434583185,0.43773367842067296,0.11807253463612395
P23,MEDIUM,HIGH,BALANCED,NORMAL_TAIL,STRONG,14,2,5635.46,105359.84,97.74,656169.7004,124.37779006440992,115.20845153343764,145.35831980037938,162.51324730410977,831023.6444462821,781510.2990433045,962824.7088420724,1060758.52515418,0.9416,0.9457,4,1.42,0.57,0.355,11.59,24726.666666666668,-1.0095996467985684,5.073333333333333,12260.0,162.51324730410977,1060758.52515418,1,1,2133.448374851874,0.49582097600429376,0.43773367842067296,0.11857990587151034
P07,SMALL,HIGH,LATE_HEAVY,HEAVY_TAIL,WEAK,13,1,5830.59,63593.93,73.13000000000001,489984.97670000006,102.51698342400724,93.63967605397004,125.13534730246994,142.30465563082154,692094.7220323035,642505.4483558914,839939.3593466548,948493.5374950313,0.9361,0.942,4,1.54,0.69,0.385,12.690000000000001,30683.333333333336,-1.0392248691543304,6.173333333333334,18216.666666666668,142.30465563082154,948493.5374950313,1,1,2417.914368078441,0.5936990765887911,0.4864722878523925,0.17352659646966323
P19,SMALL,HIGH,BALANCED,NORMAL_TAIL,STRONG,13,1,4063.01,115729.9,67.13000000000001,388479.7613,92.4067244632908,84.20638822519196,112.6098936836554,127.86075526765096,515979.61239013216,484681.3109293114,610864.8456333089,679147.458468189,0.9519,0.9521,4,1.42,0.57,0.355,11.59,24726.666666666668,-1.0095996467985684,5.073333333333333,12260.0,127.86075526765096,679147.458468189,1,1,2133.448374851874,0.49582097600429376,0.43773367842067296,0.17265008192801054
P09,LARGE,LOW,BALANCED,NORMAL_TAIL,STRONG,15,3,3878.88,46702.38,126.93999999999996,539087.4071999999,135.38162743471426,131.7960382608507,140.01025297396967,149.05370729144414,578135.1030502028,560089.1653785816,601800.5798967954,645578.7506532706,0.7533,0.763,4,0.38,0.13,0.095,3.0733333333333333,6463.333333333334,-0.2861942049825299,1.1566666666666667,2796.666666666667,149.05370729144414,645578.7506532706,1,1,2103.0368756714633,0.4326972666322177,0.3763557482506435,0.02421091329217838
P21,LARGE,LOW,BALANCED,HEAVY_TAIL,WEAK,15,3,6468.83,44494.12,136.52,927618.7916,144.18937086097563,140.1055376120741,148.48613802804522,157.41407103907164,984487.04664759,953437.235883394,1016749.595833872,1085423.259739759,0.6803,0.6905,4,0.38,0.13,0.095,3.0733333333333333,7130.0,-0.2822877793471864,1.1566666666666667,3463.3333333333335,157.41407103907164,1085423.259739759,1,1,2319.9566152971943,0.48574100046744006,0.3763557482506435,0.022511964058825235
P05,MEDIUM,LOW,LATE_HEAVY,NORMAL_TAIL,WEAK,14,2,4153.48,30109.24,108.14,479266.56719999993,122.08042181169162,115.89860159862458,130.3707334332235,148.77429167177024,546460.330565346,515046.24861677166,593034.0446577156,674502.7085706154,0.8491,0.8535,4,0.5,0.25,0.125,4.173333333333334,9003.333333333334,-0.33583985871942734,2.256666666666667,5336.666666666668,148.77429167177024,674502.7085706154,1,1,2157.348242294565,0.592743428359801,0.540734824151581,0.03859194870810747
P17,MEDIUM,LOW,BALANCED,NORMAL_TAIL,WEAK,15,3,5208.36,89349.58,84.71000000000001,530549.7556,93.01858448017754,88.49456234034307,96.101740624219,107.35930164475656,580351.738951335,551016.4218978735,605361.9655132022,670481.6473039419,0.864,0.8644,4,0.38,0.13,0.095,3.0733333333333333,6463.333333333334,-0.2861942049825299,1.1566666666666667,2796.666666666667,107.35930164475656,670481.6473039419,1,1,2103.0368756714633,0.4326972666322177,0.3763557482506435,0.036280643764573864
