project_id,size_bucket,risk_level_bucket,late_concentration,tail_type,coupling,burn_rate_per_day,fixed_cost,n_tasks,n_streams
P01,SMALL,LOW,LATE_HEAVY,NORMAL_TAIL,STRONG,6385.43,94919.67,14,2
P02,MEDIUM,MED,BALANCED,NORMAL_TAIL,STRONG,5469.43,63186.16,14,2
P03,LARGE,HIGH,LATE_HEAVY,NORMAL_TAIL,WEAK,5169.38,62182.96,15,3
P04,SMALL,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,4959.53,44529.55,13,1
P05,MEDIUM,LOW,LATE_HEAVY,NORMAL_TAIL,WEAK,4153.48,30109.24,14,2
P06,LARGE,MED,BALANCED,NORMAL_TAIL,WEAK,3933.32,41023.15,15,3
P07,SMALL,HIGH,LATE_HEAVY,HEAVY_TAIL,WEAK,5830.59,63593.93,13,1
P08,MEDIUM,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,2246.73,79697.4,14,2
P09,LARGE,LOW,BALANCED,NORMAL_TAIL,STRONG,3878.88,46702.38,15,3
P10,SMALL,MED,LATE_HEAVY,NORMAL_TAIL,WEAK,5955.48,89505.72,13,1
P11,MEDIUM,HIGH,BALANCED,HEAVY_TAIL,STRONG,3495.09,68837.62,15,3
P12,LARGE,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,3838.76,64279.33,15,3
P13,SMALL,LOW,LATE_HEAVY,NORMAL_TAIL,STRONG,5378.73,109849.43,14,2
P14,MEDIUM,MED,BALANCED,NORMAL_TAIL,STRONG,6009.48,85519.34,14,2
P15,LARGE,HIGH,LATE_HEAVY,NORMAL_TAIL,STRONG,3315.71,31321.36,15,3
P16,SMALL,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,3315.71,40460.7,13,1
P17,MEDIUM,LOW,BALANCED,NORMAL_TAIL,WEAK,5208.36,89349.58,15,3
P18,LARGE,MED,BALANCED,NORMAL_TAIL,WEAK,2737.85,105193.2,15,3
P19,SMALL,HIGH,BALANCED,NORMAL_TAIL,STRONG,4063.01,115729.9,13,1
P20,MEDIUM,EXTREME,LATE_HEAVY,HEAVY_TAIL,WEAK,5910.5,50628.83,14,2
P21,LARGE,LOW,BALANCED,HEAVY_TAIL,WEAK,6468.83,44494.12,15,3
P22,SMALL,MED,BALANCED,NORMAL_TAIL,STRONG,4938.89,28583.09,13,1
P23,MEDIUM,HIGH,BALANCED,NORMAL_TAIL,STRONG,5635.46,105359.84,14,2
P24,LARGE,EXTREME,LATE_HEAVY,HEAVY_TAIL,STRONG,3311.26,93626.18,15,3
