project_id,risk_id,risk_name,risk_type,probability,targets,sched_add_tri_o,sched_add_tri_m,sched_add_tri_p,mul_logn_mu,mul_logn_sigma,cost_lump_tri_o,cost_lump_tri_m,cost_lump_tri_p
P01,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P01,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P01,R_VULN,Critical vulnerability discovered late,MUL,0.14,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P01,R_INCI,Pilot security incident / rollback,ADD,0.11,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P02,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P02,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P02,R_VULN,Critical vulnerability discovered late,MUL,0.2,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P02,R_INCI,Pilot security incident / rollback,ADD,0.12,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P03,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P03,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P03,R_VULN,Critical vulnerability discovered late,MUL,0.41,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P03,R_INCI,Pilot security incident / rollback,ADD,0.28,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P04,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P04,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P04,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P04,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
P05,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P05,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P05,R_VULN,Critical vulnerability discovered late,MUL,0.14,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P05,R_INCI,Pilot security incident / rollback,ADD,0.11,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P06,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P06,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P06,R_VULN,Critical vulnerability discovered late,MUL,0.2,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P06,R_INCI,Pilot security incident / rollback,ADD,0.12,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P07,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P07,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P07,R_VULN,Critical vulnerability discovered late,MUL,0.41,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.4,5000.0,18000.0,70000.0
P07,R_INCI,Pilot security incident / rollback,ADD,0.28,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P08,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P08,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P08,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P08,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
P09,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P09,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P09,R_VULN,Critical vulnerability discovered late,MUL,0.08,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P09,R_INCI,Pilot security incident / rollback,ADD,0.05,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P10,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P10,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P10,R_VULN,Critical vulnerability discovered late,MUL,0.26,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P10,R_INCI,Pilot security incident / rollback,ADD,0.18,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P11,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P11,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P11,R_VULN,Critical vulnerability discovered late,MUL,0.35,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.4,5000.0,18000.0,70000.0
P11,R_INCI,Pilot security incident / rollback,ADD,0.22,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P12,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P12,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P12,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P12,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
P13,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P13,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P13,R_VULN,Critical vulnerability discovered late,MUL,0.14,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P13,R_INCI,Pilot security incident / rollback,ADD,0.11,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P14,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P14,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P14,R_VULN,Critical vulnerability discovered late,MUL,0.2,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P14,R_INCI,Pilot security incident / rollback,ADD,0.12,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P15,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P15,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P15,R_VULN,Critical vulnerability discovered late,MUL,0.41,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P15,R_INCI,Pilot security incident / rollback,ADD,0.28,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P16,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P16,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P16,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P16,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
P17,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P17,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P17,R_VULN,Critical vulnerability discovered late,MUL,0.08,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P17,R_INCI,Pilot security incident / rollback,ADD,0.05,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P18,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P18,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P18,R_VULN,Critical vulnerability discovered late,MUL,0.2,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P18,R_INCI,Pilot security incident / rollback,ADD,0.12,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P19,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P19,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P19,R_VULN,Critical vulnerability discovered late,MUL,0.35,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P19,R_INCI,Pilot security incident / rollback,ADD,0.22,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P20,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P20,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P20,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P20,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
P21,R_COMP,Compliance Change (policy/regulatory),ADD,0.1,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P21,R_VEND,Vendor / third-party integration delay,ADD,0.15,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P21,R_VULN,Critical vulnerability discovered late,MUL,0.08,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.4,5000.0,18000.0,70000.0
P21,R_INCI,Pilot security incident / rollback,ADD,0.05,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P22,R_COMP,Compliance Change (policy/regulatory),ADD,0.25,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P22,R_VEND,Vendor / third-party integration delay,ADD,0.3,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P22,R_VULN,Critical vulnerability discovered late,MUL,0.2,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P22,R_INCI,Pilot security incident / rollback,ADD,0.12,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P23,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P23,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P23,R_VULN,Critical vulnerability discovered late,MUL,0.35,T_BA;T_INT;T_SEC;T_REM,1.0,5.0,18.0,0.12,0.28,5000.0,18000.0,45000.0
P23,R_INCI,Pilot security incident / rollback,ADD,0.22,T_PIL;T_ROL,1.0,6.0,24.0,,,2000.0,12000.0,45000.0
P24,R_COMP,Compliance Change (policy/regulatory),ADD,0.4,T_GOV;T_DOC,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P24,R_VEND,Vendor / third-party integration delay,ADD,0.45,T_INT,1.0,6.0,16.0,,,2000.0,12000.0,30000.0
P24,R_VULN,Critical vulnerability discovered late,MUL,0.49,T_BA;T_INT;T_SEC;T_REM,1.35,6.75,24.3,0.162,0.498,6750.0,24300.0,94500.0
P24,R_INCI,Pilot security incident / rollback,ADD,0.36,T_PIL;T_ROL,1.35,8.1,32.4,,,2700.0,16200.0,60750.0
