project_id,task_code,task_name,phase,opt_o,likely_m,pess_p,pred
P01,T_INIT,Project Initiation,INIT,4.12,5.05,6.05,
P01,T_REQ,Requirements Gathering,REQ,5.89,7.11,8.61,T_INIT
P01,T_DES,Solution Architecture & Design,DESIGN,5.02,5.93,7.13,T_REQ
P01,T_GOV,Security Policy / Governance,GOV,3.89,4.98,6.12,T_DES
P01,T_BA,Core Implementation Stream A,BUILD_A,9.7,11.47,14.18,T_DES;T_GOV
P01,T_BB,Implementation Stream B,BUILD_B,7.71,9.41,10.79,T_DES;T_GOV
P01,T_INT,Systems Integration,INTEGRATE,6.06,7.04,8.13,T_BA;T_BB
P01,T_DOC,Compliance Documentation,DOC,4.6,5.65,7.0,T_GOV
P01,T_UAT,User Acceptance Testing,UAT,5.25,6.32,7.56,T_INT;T_DOC
P01,T_SEC,Security Testing / Penetration Testing,SEC_TEST,4.98,6.65,8.84,T_UAT
P01,T_REM,Vulnerability Remediation,REMEDIATE,4.2,6.19,8.16,T_SEC
P01,T_PRE,Pre-Production Validation,PREPROD,4.79,5.82,6.82,T_REM
P01,T_PIL,Pilot Deployment,PILOT,4.07,5.82,7.41,T_PRE
P01,T_ROL,Full Production Rollout,ROLLOUT,3.21,4.7,5.91,T_PIL
P02,T_INIT,Project Initiation,INIT,4.95,6.86,9.69,
P02,T_REQ,Requirements Gathering,REQ,5.97,8.82,12.39,T_INIT
P02,T_DES,Solution Architecture & Design,DESIGN,5.75,8.36,11.28,T_REQ
P02,T_GOV,Security Policy / Governance,GOV,5.28,7.11,9.57,T_DES
P02,T_BA,Core Implementation Stream A,BUILD_A,9.52,13.95,20.17,T_DES;T_GOV
P02,T_BB,Implementation Stream B,BUILD_B,8.23,11.2,14.77,T_DES;T_GOV
P02,T_INT,Systems Integration,INTEGRATE,6.0,9.22,12.67,T_BA;T_BB
P02,T_DOC,Compliance Documentation,DOC,5.34,7.82,10.24,T_GOV
P02,T_UAT,User Acceptance Testing,UAT,7.07,9.43,11.63,T_INT;T_DOC
P02,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.53,8.83,12.09,T_UAT
P02,T_REM,Vulnerability Remediation,REMEDIATE,5.5,8.27,10.71,T_SEC
P02,T_PRE,Pre-Production Validation,PREPROD,5.43,7.69,10.07,T_REM
P02,T_PIL,Pilot Deployment,PILOT,4.66,7.1,9.46,T_PRE
P02,T_ROL,Full Production Rollout,ROLLOUT,4.38,6.11,9.06,T_PIL
P03,T_INIT,Project Initiation,INIT,6.18,9.95,16.3,
P03,T_REQ,Requirements Gathering,REQ,7.61,12.4,17.82,T_INIT
P03,T_DES,Solution Architecture & Design,DESIGN,7.32,11.65,18.48,T_REQ
P03,T_GOV,Security Policy / Governance,GOV,5.92,10.97,15.87,T_DES
P03,T_BA,Core Implementation Stream A,BUILD_A,11.84,21.38,32.53,T_DES;T_GOV
P03,T_BB,Implementation Stream B,BUILD_B,8.21,15.3,21.22,T_DES;T_GOV
P03,T_BC,Implementation Stream C,BUILD_C,8.63,14.58,20.21,T_DES;T_GOV
P03,T_INT,Systems Integration,INTEGRATE,6.27,12.48,17.81,T_BA;T_BB;T_BC
P03,T_DOC,Compliance Documentation,DOC,6.55,11.31,15.95,T_GOV
P03,T_UAT,User Acceptance Testing,UAT,8.39,12.74,20.56,T_INT;T_DOC
P03,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.13,13.51,19.71,T_UAT
P03,T_REM,Vulnerability Remediation,REMEDIATE,5.63,12.48,22.12,T_SEC
P03,T_PRE,Pre-Production Validation,PREPROD,6.03,10.58,14.97,T_REM
P03,T_PIL,Pilot Deployment,PILOT,4.3,10.07,16.2,T_PRE
P03,T_ROL,Full Production Rollout,ROLLOUT,2.58,8.49,15.57,T_PIL
P04,T_INIT,Project Initiation,INIT,3.89,5.43,6.61,
P04,T_REQ,Requirements Gathering,REQ,5.3,6.76,8.09,T_INIT
P04,T_DES,Solution Architecture & Design,DESIGN,4.35,5.78,7.8,T_REQ
P04,T_GOV,Security Policy / Governance,GOV,4.25,5.52,7.47,T_DES
P04,T_BA,Core Implementation Stream A,BUILD_A,7.18,9.96,12.58,T_DES;T_GOV
P04,T_INT,Systems Integration,INTEGRATE,5.82,7.35,8.8,T_BA
P04,T_DOC,Compliance Documentation,DOC,3.45,5.13,7.02,T_GOV
P04,T_UAT,User Acceptance Testing,UAT,4.6,6.55,8.82,T_INT;T_DOC
P04,T_SEC,Security Testing / Penetration Testing,SEC_TEST,4.46,6.78,10.05,T_UAT
P04,T_REM,Vulnerability Remediation,REMEDIATE,4.24,6.44,8.4,T_SEC
P04,T_PRE,Pre-Production Validation,PREPROD,4.22,5.45,7.39,T_REM
P04,T_PIL,Pilot Deployment,PILOT,3.31,4.93,7.51,T_PRE
P04,T_ROL,Full Production Rollout,ROLLOUT,2.85,4.35,6.41,T_PIL
P05,T_INIT,Project Initiation,INIT,4.95,7.22,10.56,
P05,T_REQ,Requirements Gathering,REQ,5.2,8.47,12.51,T_INIT
P05,T_DES,Solution Architecture & Design,DESIGN,5.95,8.53,12.45,T_REQ
P05,T_GOV,Security Policy / Governance,GOV,4.96,7.96,10.31,T_DES
P05,T_BA,Core Implementation Stream A,BUILD_A,7.66,14.12,19.77,T_DES;T_GOV
P05,T_BB,Implementation Stream B,BUILD_B,7.41,11.73,17.02,T_DES;T_GOV
P05,T_INT,Systems Integration,INTEGRATE,7.63,10.83,15.74,T_BA;T_BB
P05,T_DOC,Compliance Documentation,DOC,4.13,6.91,10.16,T_GOV
P05,T_UAT,User Acceptance Testing,UAT,5.7,8.44,11.88,T_INT;T_DOC
P05,T_SEC,Security Testing / Penetration Testing,SEC_TEST,6.05,10.85,17.28,T_UAT
P05,T_REM,Vulnerability Remediation,REMEDIATE,5.53,9.72,15.24,T_SEC
P05,T_PRE,Pre-Production Validation,PREPROD,4.65,6.9,10.51,T_REM
P05,T_PIL,Pilot Deployment,PILOT,4.97,8.09,12.09,T_PRE
P05,T_ROL,Full Production Rollout,ROLLOUT,3.31,7.01,10.77,T_PIL
P06,T_INIT,Project Initiation,INIT,4.19,9.16,15.07,
P06,T_REQ,Requirements Gathering,REQ,6.35,10.68,16.98,T_INIT
P06,T_DES,Solution Architecture & Design,DESIGN,4.25,9.88,14.72,T_REQ
P06,T_GOV,Security Policy / Governance,GOV,3.67,8.98,12.95,T_DES
P06,T_BA,Core Implementation Stream A,BUILD_A,10.93,18.5,26.14,T_DES;T_GOV
P06,T_BB,Implementation Stream B,BUILD_B,8.24,13.98,20.38,T_DES;T_GOV
P06,T_BC,Implementation Stream C,BUILD_C,5.81,12.32,20.03,T_DES;T_GOV
P06,T_INT,Systems Integration,INTEGRATE,6.95,12.3,18.77,T_BA;T_BB;T_BC
P06,T_DOC,Compliance Documentation,DOC,5.22,10.39,14.0,T_GOV
P06,T_UAT,User Acceptance Testing,UAT,6.12,10.86,15.93,T_INT;T_DOC
P06,T_SEC,Security Testing / Penetration Testing,SEC_TEST,7.14,12.74,17.46,T_UAT
P06,T_REM,Vulnerability Remediation,REMEDIATE,5.88,11.3,15.84,T_SEC
P06,T_PRE,Pre-Production Validation,PREPROD,6.73,10.31,16.55,T_REM
P06,T_PIL,Pilot Deployment,PILOT,3.73,8.89,15.06,T_PRE
P06,T_ROL,Full Production Rollout,ROLLOUT,4.97,9.53,14.76,T_PIL
P07,T_INIT,Project Initiation,INIT,3.84,5.31,6.73,
P07,T_REQ,Requirements Gathering,REQ,4.28,6.17,8.0,T_INIT
P07,T_DES,Solution Architecture & Design,DESIGN,3.84,5.53,7.32,T_REQ
P07,T_GOV,Security Policy / Governance,GOV,3.27,5.04,6.64,T_DES
P07,T_BA,Core Implementation Stream A,BUILD_A,7.38,11.26,14.85,T_DES;T_GOV
P07,T_INT,Systems Integration,INTEGRATE,4.32,6.48,9.34,T_BA
P07,T_DOC,Compliance Documentation,DOC,3.46,5.32,7.18,T_GOV
P07,T_UAT,User Acceptance Testing,UAT,4.58,6.36,8.85,T_INT;T_DOC
P07,T_SEC,Security Testing / Penetration Testing,SEC_TEST,3.22,6.31,10.17,T_UAT
